timestamp,left_temp,left_vel,left_deg,right_temp,right_vel,right_deg,intake_temp,intake_vel,intake_deg,overclock_temp,overclock_vel,overclock_deg,rotation_deg,autonSelector_deg,hTracker_deg,imu_heading
2483,35.00,80.93,0.08,35.00,-119.00,-0.10,35.00,0.00,0.00,35.00,-0.00,-0.00,358.15,21474836.47,0.00,0.36
2613,35.00,311.13,0.41,35.00,-75.73,-0.32,35.00,0.00,0.00,35.00,-0.00,-0.00,358.50,21474836.47,39.91,14.67
2724,35.00,366.67,1.03,35.00,-50.13,-0.42,35.00,0.00,0.00,35.00,-0.00,-0.00,357.97,21474836.47,107.05,34.37
2841,35.00,437.60,1.80,35.00,-16.60,-0.45,35.00,0.00,0.00,35.00,-0.00,-0.00,357.97,21474836.47,159.70,57.47
2953,35.00,467.27,2.64,35.00,6.53,-0.45,35.00,0.00,0.00,35.00,-0.00,-0.00,358.33,21474836.47,202.24,82.79
3065,35.00,470.67,3.59,35.00,26.27,-0.44,35.00,0.00,0.00,35.00,-0.00,-0.00,358.50,21474836.47,204.09,112.12
3174,35.00,306.47,4.25,35.00,293.40,-0.03,35.00,0.00,0.00,35.00,-0.00,-0.00,358.50,21474836.47,162.34,134.47
3283,35.00,290.53,4.78,35.00,340.80,0.56,35.00,0.00,0.00,35.00,-0.00,-0.00,358.24,21474836.47,65.13,144.52
3397,35.00,277.00,5.32,35.00,418.27,1.36,35.00,0.00,0.00,35.00,-0.00,-0.00,358.68,21474836.47,-74.70,145.68
3508,35.00,254.47,5.82,35.00,475.73,2.19,35.00,0.00,0.00,35.00,-0.00,-0.00,358.68,21474836.47,-162.86,138.95
3619,35.00,265.47,6.30,35.00,495.20,3.09,35.00,0.00,0.00,35.00,-0.00,-0.00,358.76,21474836.47,-222.62,126.68
3731,35.00,238.27,6.76,35.00,505.73,4.02,35.00,0.00,0.00,35.00,-0.00,-0.00,358.76,21474836.47,-233.26,112.46
3845,35.00,202.93,7.21,35.00,485.00,5.02,35.00,0.00,0.00,35.00,-0.00,-0.00,358.76,21474836.47,-198.98,96.22
3957,35.00,154.27,7.53,35.00,467.47,5.92,35.00,0.00,0.00,35.00,-0.00,-0.00,358.76,21474836.47,-121.11,79.61
4061,35.00,36.47,7.63,35.00,362.93,6.58,35.00,-3.00,-1.00,35.00,-0.00,-0.00,356.48,21474836.47,-85.87,76.52
4165,35.00,-34.27,7.62,35.00,321.60,7.00,35.00,-7.00,-1.00,35.00,-0.00,-0.00,357.18,21474836.47,-85.43,73.48
4270,35.00,13.87,7.63,35.00,386.80,7.64,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.41,21474836.47,-91.58,73.73
4376,35.00,7.73,7.63,35.00,374.40,8.31,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.02,73.71
4485,35.00,0.00,7.63,35.00,370.60,9.02,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.37,73.70
4594,35.00,0.00,7.63,35.00,393.87,9.67,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.46,73.69
4698,35.00,0.00,7.63,35.00,356.53,10.27,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.46,73.67
4802,35.00,0.00,7.63,35.00,381.07,10.90,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.46,73.67
4908,35.00,0.00,7.63,35.00,343.73,11.61,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.33,21474836.47,-92.55,73.66
5013,35.00,0.00,7.63,35.00,389.07,12.19,35.00,0.00,-1.00,35.00,-0.00,-0.00,358.41,21474836.47,-92.55,73.66
